Weight Change Measured (g), Time taken to measure (s)
618.152716, 1.098639
598.673542, 1.046589
591.325244, 0.889167
604.202695, 0.784673
605.575645, 0.942048
607.633621, 0.889407
601.362370, 1.046585
603.185772, 0.994128
607.465561, 0.889363
606.399205, 0.889229
592.773087, 1.464942
606.309801, 0.889299
630.123918, 1.046523
613.702298, 0.889937
618.189624, 1.098577
601.523438, 0.994016
615.010091, 1.150799
610.418363, 0.941729
601.092941, 1.307990
610.337168, 1.151497
613.153139, 1.360786
616.387659, 1.412765
604.202308, 0.889645
610.017788, 0.993909
604.463359, 1.098874
601.179787, 1.203399
588.490778, 1.098803
596.049324, 0.994249
666.920103, 1.046508
591.122715, 0.993886
759.062046, 0.889380
598.681907, 0.889385
747.934579, 1.046569
576.174247, 1.046154
61.713111, 3.714523
294.631361, 0.941782
603.730619, 0.941787
541.065626, 1.203306
582.694064, 0.837421
698.783962, 0.941557
601.956781, 0.941669
532.436679, 0.993996
596.490298, 0.837198
469.849206, 0.942353
586.470558, 1.308497
601.201123, 1.621940
571.361894, 1.046758
638.042594, 0.889532
565.493597, 1.203445
539.279898, 0.889169
545.972198, 1.098562
568.482014, 1.046533
554.374568, 0.994395
655.341716, 1.308119
623.734636, 0.889437
